title,category,price,rating,num_reviews,num_subscribers
Master Business Writing and Editing,Business,6400.0,4.33,1532,6001
Shell Scripting: Discover How to Automate Command Line Tasks,Development,6080.0,4.39,5841,37009
How do you make your Boss work for you,Lifestyle,1600.0,0.0,0,0
Complete NMAP: Learn Ethical Hacking with NMAP,IT & Software,8640.0,4.67,21,116
"Trilha da Riqueza - Finanças, Investimentos e Mindset",Finance & Accounting,1920.0,4.41,3,5
Create your business plan with StratPad,Business,6080.0,4.41,29,4779
How to create Really Profesional Free website on Blogger,Development,1280.0,4.1,20,2481
OpenToonz 101: drawing tools demystified,Lifestyle,3840.0,4.09,65,2929
AWS Security Speciality(SCS-C01) 2020 with Explanations,IT & Software,1280.0,3.55,8,51
Launch Your Startup Entrepreneur Business,Finance & Accounting,1280.0,3.83,812,6109
How to Win US Federal Government Contracts,Business,6080.0,4.69,45,1374
OpenCV: Master OpenCV 3 Application Development Using Python,Development,8640.0,2.83,26,235
Positive Psychology: A Short Course in Habits and Happiness,Lifestyle,1280.0,4.82,73,3731
Closing More Sales - 'Your Customer Can Sell to Themselves'!,IT & Software,6400.0,4.35,10,48
Selling at the C-Level,Finance & Accounting,3200.0,3.94,7,32
Entrepreneurship Secret-How to start successful business,Business,8640.0,3.79,23,2285
Gatsby JS & Shopify: Gatsby ecommerce sites [Gatsby 2020],Development,1920.0,4.68,9,82
Create Contemporary Owl Art With Acrylic And Collage,Lifestyle,2560.0,4.26,11,1074
CCNP SWITCH 300-115 Video Boot Camp With Chris Bryant,IT & Software,1280.0,4.5,750,3876
Pricing your Home Staging Services,Finance & Accounting,2240.0,4.48,19,573
Exceptional Customer Service,Business,2880.0,3.4,4,12
HTML5 & CSS3 ♦ Build responsive website from scratch,Development,1280.0,3.9,11,163
Débuter avec Adwords,Lifestyle,3200.0,4.47,64,439
Cloudera CCA 175 Spark Developer Certification: Hadoop Based,IT & Software,8640.0,4.79,143,2811
"Advance Stock Trading (Short term, Swing and Long term)",Finance & Accounting,1280.0,2.91,22,1614
Understanding and developing Emotional Intelligence,Business,3200.0,4.14,5177,13396
3D Modeling in Blender 2.8 for Unity Video Game Developers,Development,2880.0,4.7,193,1112
YouTube Masterclass - Your Complete Guide to YouTube,Lifestyle,11520.0,4.38,7990,157937
Informal and formal disciplinary meetings and investigations,IT & Software,3200.0,3.84,6,587
Economics - Super Simple Education,Finance & Accounting,1280.0,3.86,3,15
Business Data Mining Using Python : Discovering Knowledge.,Business,8640.0,5.0,4,1028
Practical CSS Grid: Learn Grid Layout in under 2 hours!,Development,3200.0,4.93,25,127
Crea una Academia Online en Tiempo Record,Lifestyle,2240.0,4.0,1,8
Cisco 200-101 (ICND2) Exam Training Made Easy,IT & Software,3200.0,4.41,46,932
Make A Bundle Selling Amazon Bundles!,Finance & Accounting,1600.0,4.66,77,1747
10 Online Business Models That Make Me 6-Figures,Business,6400.0,4.55,83,716
Learn Socket to Create Multiplayer Games with Unity,Development,8640.0,3.51,40,298
Oracle 11g PL/SQL Fundamentals II,Lifestyle,6400.0,4.61,320,1744
How to Create a WordPress Website - 2018,IT & Software,1280.0,4.34,119,8971
How to Set Up a Translation Agency: The Complete Guide,Finance & Accounting,3200.0,4.62,49,1400
Learning IBM SPSS Statistics,Business,8000.0,4.45,12,63
Modern Multi Vendors E-Commerce Store In PHP,Development,6400.0,4.4,421,2150
"Marketing e Propaganda, o passo a passo para iniciantes",Lifestyle,2560.0,4.17,11,23
PCB Design And Manufacturing: The Complete Guide,IT & Software,1280.0,4.14,14,68
Bitcoin Trading Using Machine Learning with R,Finance & Accounting,8640.0,3.58,5,40
Business Education: Guide to Blockchain and Cryptocurrencies,Business,1920.0,4.21,119,25295
Learn C# Programming For Absolute Beginners  From Scratch,Development,8640.0,4.03,35,1533
Adobe Illustrator for Children's Books: Watercolor Style,Lifestyle,8640.0,4.69,58,444
Learn Microsoft T-SQL The Easy Way,IT & Software,2560.0,4.84,29,1881
How to Understand Your Workplace Rights to Get an Upper Hand,Finance & Accounting,1920.0,4.56,8,55
Learn SuiteCRM / SugarCRM CE For Beginners,Business,4160.0,2.1,4,30
Learn To Program Tic-Tac-Toe with C# and Visual Studio,Development,2240.0,4.27,59,1719
Truck Driving - An Introduction to Professional Trucking,Lifestyle,1920.0,4.46,15,84
Writers Workshop: Start Writing Your First Book,IT & Software,4160.0,4.42,4,21
The ProForma - The First Tool in Business,Finance & Accounting,1280.0,3.21,10,41
"Deliver Powerful, Painless Feedback to Motivate vs Frustrate",Business,3200.0,4.07,288,1168
Beginning C++ Programming - From Beginner to Beyond,Development,8640.0,4.59,28514,106093
How to Get a Job at Google - Insights from Former Employees,Lifestyle,6720.0,4.25,31,3942
Sales Objection Jiu-jitsu,IT & Software,1600.0,4.18,6,21
The Real Estate Development Modeling Master Class,Finance & Accounting,8640.0,4.56,668,3568
Speak on camera with confidence,Business,1280.0,4.69,16,142
AWS - Building Intelligent Data Driven Applications with AWS,Development,8640.0,3.75,9,98
Videos machen mit dem Smartphone,Lifestyle,8640.0,4.51,15,70
Product Cost and Pricing Strategy,IT & Software,1280.0,0.0,0,0
"power trader 2,0",Finance & Accounting,1280.0,0.0,0,0
Launching a Web Hosting Business from Scratch,Business,1280.0,4.53,37,1080
Test your HTML skills | All Versions Standard,Development,1280.0,4.01,57,4556
Learn Solidworks by examples,Lifestyle,8640.0,3.58,62,961
Wireless Hacking and Security,IT & Software,2560.0,3.82,5,90
Domain Flipping: Make Money Online,Finance & Accounting,6400.0,4.49,20,73
SMCG for Management Consultants and Business Analysts,Business,8640.0,4.7,24,1192
HTML CSS Bootstrap jQuery Website from Scratch to Production,Development,1280.0,3.71,326,10787
Learn Illustrator CC: Create Vector Graphic Illustration,Lifestyle,0.0,3.89,12,1915
Oracle Unified Directory (OUD) Administration,IT & Software,12800.0,4.09,19,74
Project Finance Modeling for Renewable Energy,Finance & Accounting,8640.0,4.48,58,204
Developing an Employee Onboarding Program,Business,6720.0,4.34,52,447
Learn How To Do Amazing Cloth Animation In Unreal Engine 4!,Development,8640.0,4.11,126,1476
Lavorare da casa,Lifestyle,1600.0,0.0,0,1
The Science of Teams (TSoT) - Theory,IT & Software,3200.0,5.0,4,6
Introduction to Health Financing,Finance & Accounting,8640.0,4.71,29,134
The Real Estate Financial Modeling Interview Exam Guide,Business,8640.0,4.76,306,1728
Learn 30 JavaScript Methods in 12 days!,Development,6400.0,4.75,11,43
Guest Blogging Blueprint: Multiply Your Traffic & Influence,Lifestyle,3520.0,4.55,68,3712
EIQ2 - Partnering for Peak Customer Growth & Success,IT & Software,8640.0,3.99,3,2556
Giving and Receiving Effective Feedback,Finance & Accounting,2240.0,3.99,10,36
PMP PMBOK 6 Practice Exams: Set Two for PMP Candidates,Business,6400.0,4.18,342,3096
The complete JavaScript developer: MEAN stack zero-to-hero,Development,5440.0,3.84,1860,8515
Get Creative with Clay!,Lifestyle,1920.0,5.0,1,48
The Most Comprehensive Dropshipping Guide Ever Created,IT & Software,12800.0,4.48,230,6354
The Essential Guide to Entrepreneurship by Guy Kawasaki,Finance & Accounting,6080.0,4.51,2885,19740
How To Write A Movie Script : Movie Script Writing Basics,Business,3200.0,4.48,150,4869
Productive coding with WebStorm,Development,1600.0,4.56,199,828
PTSD: Cleaning and Clearing Shock and Trauma,Lifestyle,8000.0,4.51,149,805
Financial Mathematics: Simple&Compound Interest Calculations,IT & Software,1600.0,0.0,0,3
How to Succeed In Your First Management Job,Finance & Accounting,8640.0,4.43,288,1387
Certified Lean Management Professional,Business,2880.0,4.26,480,2515
Modern JavaScript For Developers,Development,2560.0,3.85,9,70
Start and Market Your Online Business:,Lifestyle,8640.0,3.83,12,3034
How Do Customers See Your Hospitality Property? Updated 2020,IT & Software,3200.0,4.38,15,66
ISO31000 Integrating Risk Management into Decision Making,Finance & Accounting,8640.0,4.06,14,96
Youtube Vlogging: Secrets of Youtube Success,Business,3840.0,4.14,200,1057
Scala for Spark - The Most Important Parts,Development,2560.0,3.23,16,56
Youtube Ads 2020 COMPLETO (4 Campanhas em 1) + Remarketing,Lifestyle,8640.0,4.59,32,147
Aspen Plus - Intermediate Process Modeling,IT & Software,1280.0,4.23,153,1646
Short Sell & Day Trading (2 Course Bundle) 21 Hours,Finance & Accounting,1280.0,4.56,78,8357
The Gig Economy Preparation Guide,Business,6080.0,4.0,4,30
Exploring Alexa Voice Services and Alexa Gadgets,Development,8640.0,4.94,16,112
Illustratorでポストカード・名刺・フライヤーを作ろう,Lifestyle,1280.0,4.21,16,99
PowerShell Universal Dashboard,IT & Software,1280.0,4.16,22,88
Manage Change Through Collaboration and Team Work,Finance & Accounting,6400.0,4.33,1423,4361
Management Accounting A Complete Study,Business,8640.0,3.97,66,753
Inverters Design (SVPWM) MATLAB/Simulink,Development,4480.0,3.33,31,474
Pinterest Marketing:How to use Pinterest for Business Growth,Lifestyle,8320.0,3.7,43,4018
First Steps to Trading the Forexmarkets : Technical Analysis,IT & Software,1280.0,3.97,24,1786
Controlando as Finanças Pessoais com o ORGANIZZE,Finance & Accounting,0.0,4.41,186,5865
Options Trading for Rookies: Make & Manage Profitable Trades,Business,6080.0,4.67,425,4759
The Amazing iOS9 Course - Over 84 hours of Content!,Development,8640.0,4.13,23,955
Rock Painting for Beginners,Lifestyle,0.0,4.72,165,5129
Beginners guide to successfully day trading Bitcoin,IT & Software,2880.0,4.34,34,1038
MYOB Bookkeeping Software,Finance & Accounting,2880.0,3.74,45,185
Format Professional Kindle Books Easily and Quickly,Business,8000.0,4.76,54,4602
Server Side Rendering with React and Redux,Development,2560.0,4.75,2821,18492
EFT Your Fear of Public Speaking,Lifestyle,8640.0,3.88,50,8845
Activities and Tools Used for Business (IIBA - ECBA),IT & Software,6400.0,4.5,23,5926
PMI-ACP Agile Principles and Mindset,Finance & Accounting,5440.0,4.54,28,130
Kid Entrepreneurship - Business Launch Plan (3rd-5th grade),Business,6400.0,4.24,192,4337
DevOps CI CD with Jenkins,Development,4480.0,3.82,286,2886
Digital Marketing:  Simulador e Material de Estudo,Lifestyle,1280.0,0.0,0,4
Anonymity Guide For Ethical Hackers,IT & Software,8640.0,3.05,261,22708
High Impact Presentation Skills,Finance & Accounting,1280.0,4.52,7,48
Talent Management and Succession Planning,Business,4800.0,3.72,113,345
Going beyond Dashboards with IBM Cognos Analytics,Development,8000.0,4.12,51,330
Teams в образовании: как настроить и провести занятия,Lifestyle,0.0,4.86,5,61
Sales and Business Case Development,IT & Software,8640.0,4.66,92,1618
Ethics Review for CFA® Level 1 (2020),Finance & Accounting,3840.0,4.58,121,1811
Complete Tableau 2020 Training for Absolute Beginners,Business,8640.0,4.51,1691,22015
Beginning Jenkins,Development,8640.0,3.75,31,92
"Creation, texture and hair for a character in Maya",Lifestyle,8640.0,0.0,0,15
Start And Build a Graphic Design Home Business,IT & Software,1920.0,3.57,27,2089
Team Management - Getting More Done with the Least Friction,Finance & Accounting,8640.0,3.88,26,862
8. Amortization Schedules,Business,1280.0,4.67,3,240
Build Real World Websites from Scratch using HTML5 and CSS3,Development,8640.0,4.37,390,28830
Marketing de conteúdo: como encantar sua audiência,Lifestyle,2560.0,3.2,23,79
Windows Server 2016 Administration Masterclass: 2-In-1,IT & Software,8640.0,4.0,18,166
How To Start & Run A UK Telephone Answering Service Business,Finance & Accounting,1600.0,5.0,3,40
Applied Analytics (business application - non mathematical),Business,1280.0,4.01,157,4620
Assembly Language Adventures: Complete Course,Development,2880.0,4.35,992,8170
Aprende a pintar un lindo cuadro sobre lienzo con acrílicos.,Lifestyle,1600.0,4.68,4,26
Media Training and Interview Fundamentals,IT & Software,3200.0,4.29,12,530
確定拠出年金ほったらかし運用術,Finance & Accounting,8640.0,4.51,26,251
Work from Home from 0 budget to 6 figures success in 8 weeks,Business,8640.0,4.41,113,11177
Golang: Intro to REST APIs with Go programming lang (Golang),Development,1280.0,3.93,256,1535
Cigars - From novice to expert in one course,Lifestyle,1920.0,4.69,152,857
Understanding Financial Derivatives,IT & Software,3840.0,4.34,111,392
"Price Action avançado, seja um trader profissional",Finance & Accounting,8640.0,3.87,24,86
Advanced Trading Analysis with Python,Business,1600.0,4.37,20,500
Build a Task Scheduler Admin Panel with Laravel,Development,1280.0,4.28,21,83
Trello Productivity: Master your productivity,Lifestyle,1280.0,0.0,0,12
Fundamentals Of Telemarketing Workshop,IT & Software,3200.0,4.03,25,94
Master 12 Common Network Marketing Objections Every Time,Finance & Accounting,4800.0,4.82,7,90
Create A Thriving Independent Massage Therapy Business,Business,3200.0,4.79,16,93
Build your first Chatbot using RASA ( from ZERO to HERO ),Development,8640.0,3.91,126,17648
No More Resolutions!,Lifestyle,1280.0,4.89,3,1516
How to Invest during COVID-19 crisis,IT & Software,1280.0,3.88,6,13
Handle difficult questions the bank manager will ask you,Finance & Accounting,1280.0,0.0,0,2
Accounts Payable Operations Responsibilities,Business,4800.0,4.33,74,241
Introduction to programming: Visual Basic.Net - Beginners,Development,1920.0,4.67,216,4632
Cómo Viajar y Vivir con 300€ al Mes,Lifestyle,6400.0,3.82,33,127
"Part 2: AWS Certified Solutions Architect SAA C01,C02 - 2020",IT & Software,6080.0,4.48,407,4441
Get Your Fiction Manuscript Past the Gatekeeper,Finance & Accounting,3840.0,4.91,3,3042
Business and Sales Presentations to Captivate Your Audience,Business,4160.0,4.57,16,82
AJAX JavaScript XHR and Fetch,Development,8640.0,4.19,48,3343
Curso de Copywriting COMPLETO do básico ao avançado - 2020,Lifestyle,1280.0,3.31,74,204
Project Management: How to create a complete Plan in 1h,IT & Software,1600.0,4.11,102,11145
Basics of the stock market and investing,Finance & Accounting,1920.0,4.59,6,30
How To Trade RSI Pullback Strategy: Entry To Exit (Forex),Business,8640.0,4.03,44,285
Software Design Patterns Skills Test (Interview Questions),Development,1280.0,3.99,15,353
Curso iniciación - SAP ABAP Web Dynpro,Lifestyle,1280.0,4.19,5,19
How To Raise Private Money For Your Real Estate Deals,IT & Software,3520.0,3.93,14,104
Trade Forex with Modified Harmonic Scanner with Trendlines,Finance & Accounting,2240.0,4.24,10,15
CFA Corporate Finance Level 2,Business,8640.0,3.87,20,3112
Master CMake for Cross-Platform C++ Project Building,Development,1280.0,4.38,318,1358
From Sex-Obsessed To Creative Genius,Lifestyle,6080.0,3.88,52,265
Automated Financial Reporting In Excel: One-Click Reports,IT & Software,3200.0,3.67,28,119
Technical Analysis Elliott Wave Theory for Financial Trading,Finance & Accounting,7680.0,4.28,472,2525
Audacity Professional Vocals for Courses Video & More Part 2,Business,1280.0,4.57,72,624
Build REST APIs with PHP 7 and Laravel 5,Development,8640.0,4.31,12,60
Google Assistant生活自動化應用,Lifestyle,5120.0,5.0,2,24
CCNA Service Provider - PART 3/4,IT & Software,1280.0,4.65,19,200
Stock Options Day Trading Mindset for Success,Finance & Accounting,8640.0,4.15,93,13062
Hotel Management - How to Maximise Restaurant Profitability,Business,5440.0,3.89,16,58
Boost Your C# With Behavioural Design Patterns,Development,7680.0,4.38,266,3448
Kā uzveikt suņa prātu un atrisināt uzvedības problēmas,Lifestyle,1280.0,5.0,13,51
Certification in Renko Chart Trading & Taj Mahal Strategy,IT & Software,1280.0,2.93,105,10940
DropShip Niche Mastery: How to Discover DropShipping Niches,Finance & Accounting,8640.0,3.52,254,1299
Fiverr Animation Best Selling Gig: Sell Animation on Fiverr,Business,7040.0,4.69,71,1870
Real World Rails 5 Programming for Web Developers,Development,2560.0,4.09,10,96
Blender: how to create the tiny k-2SO STAR WAR Robot,Lifestyle,3840.0,4.61,22,288
Cisco Packet Tracer How To Guide,IT & Software,1600.0,3.58,266,5495
CDCS ULTIMATE TEST GUIDE TO SUCCESS  955 Q WITH EXPLANATION,Finance & Accounting,3200.0,3.44,9,60
Event Planning - Creating Sales for Your Business,Business,1280.0,3.53,16,569
Learn PHP and MySQL for Beginners the Easy Way - 13 Hours,Development,8640.0,3.82,36,3990
Curso de Bolo Caseiro - Para Iniciante - Aprenda do Zero,Lifestyle,1280.0,5.0,3,5
Start a successful part-time content writing Home business,IT & Software,8640.0,4.42,40,1272
Smart Contracts In Plain English,Finance & Accounting,2240.0,0.0,0,1
Optimize Your Ecommerce Homepage to Increase Sales,Business,8640.0,3.58,18,77
Maven Crash Course: Step-by-Step Introduction for Beginners,Development,3200.0,4.28,618,4872
Vegan Dinner Recipes,Lifestyle,2560.0,0.0,0,7
